Username,PNC,STATE,TYPE
"user_random,1@pypl.com",6869413954447,Active,rights1
"user_random,2@pypl.com",3095928824974,Inactive,rights1
"user_random,3@pypl.com",3456032682882,Inactive,rights1
"user_random,4@pypl.com",2923234360021,Inactive,rights2
"user_random,5@pypl.com",1954034373656,Active,rights2.2
"user_random,6@pypl.com",7596881723098,Inactive,rights1
"user_random,7@pypl.com",9509786404548,Active,rights2.2
"user_random,8@pypl.com",9842952226630,Active,rights2.1
"user_random,9@pypl.com",3364036024156,Inactive,rights4
"user_random,10@pypl.com",3116266391404,Active,rights3
"user_random,11@pypl.com",1016831058719,Active,rights2
"user_random,12@pypl.com",8980264883765,Inactive,rights1
"user_random,13@pypl.com",1282963635024,Active,rights1
"user_random,14@pypl.com",7867683818039,Inactive,rights2.2
"user_random,15@pypl.com",3884785808295,Inactive,rights4
"user_random,16@pypl.com",2445099478417,Active,rights1
"user_random,17@pypl.com",6925562398175,Active,rights2.2
"user_random,18@pypl.com",3766109399329,Active,rights2.1
"user_random,19@pypl.com",4443344530211,Inactive,rights4
"user_random,20@pypl.com",9333165895253,Active,rights2.2
"user_random,21@pypl.com",5213916127829,Inactive,rights2
"user_random,22@pypl.com",5248508539431,Active,rights4
"user_random,23@pypl.com",8759114905048,Active,rights2
"user_random,24@pypl.com",1950338566490,Active,rights1
"user_random,25@pypl.com",6053858420276,Inactive,rights4
"user_random,26@pypl.com",6649661854294,Inactive,rights2.2
"user_random,27@pypl.com",7675718372882,Active,rights2.1
"user_random,28@pypl.com",1149417486820,Inactive,rights4
"user_random,29@pypl.com",8248454389759,Inactive,rights2
"user_random,30@pypl.com",3219829240088,Active,rights3
"user_random,31@pypl.com",4659885347585,Inactive,rights2.2
"user_random,32@pypl.com",2707895317414,Active,rights2.2
"user_random,33@pypl.com",3444244734481,Active,rights4
"user_random,34@pypl.com",7099086552363,Active,rights1
"user_random,35@pypl.com",7154844658929,Inactive,rights4
"user_random,36@pypl.com",1644516469665,Active,rights2.2
"user_random,37@pypl.com",7383564259230,Inactive,rights1
"user_random,38@pypl.com",7019436226816,Inactive,rights2.1
"user_random,39@pypl.com",8173838683556,Active,rights1
"user_random,40@pypl.com",9449089123098,Inactive,rights2
"user_random,41@pypl.com",4122628534096,Active,rights2.1
"user_random,42@pypl.com",6416076007601,Inactive,rights2
"user_random,43@pypl.com",9830117287610,Active,rights2.2
"user_random,44@pypl.com",5754138186733,Active,rights4
"user_random,45@pypl.com",7257569862238,Inactive,rights2.2
"user_random,46@pypl.com",6558581454104,Active,rights4
"user_random,47@pypl.com",5164586080321,Inactive,rights3
"user_random,48@pypl.com",3060105989857,Inactive,rights3
"user_random,49@pypl.com",8105292108092,Inactive,rights2.1
"user_random,50@pypl.com",3129833828235,Active,rights2.1
"user_random,51@pypl.com",7718255281501,Active,rights1
"user_random,52@pypl.com",6859403579174,Inactive,rights3
"user_random,53@pypl.com",1827563588146,Inactive,rights2.1
"user_random,54@pypl.com",9272793993268,Inactive,rights2.1
"user_random,55@pypl.com",9209789133602,Inactive,rights2.1
"user_random,56@pypl.com",3325488696565,Active,rights3
"user_random,57@pypl.com",3652919811166,Inactive,rights3
"user_random,58@pypl.com",3093371519285,Active,rights1
"user_random,59@pypl.com",5945353727704,Active,rights2
